dt,close,signal
2025-08-05 03:40:00+00:00,114312.73,0
2025-08-05 03:45:00+00:00,114260.76,0
2025-08-05 03:50:00+00:00,114264.99,0
2025-08-05 03:55:00+00:00,114256.83,0
2025-08-05 04:00:00+00:00,114221.93,0
2025-08-05 04:05:00+00:00,114343.66,0
2025-08-05 04:10:00+00:00,114400.88,0
2025-08-05 04:15:00+00:00,114197.25,0
2025-08-05 04:20:00+00:00,114231.56,0
2025-08-05 04:25:00+00:00,114249.85,0
2025-08-05 04:30:00+00:00,114196.24,0
2025-08-05 04:35:00+00:00,114245.14,0
2025-08-05 04:40:00+00:00,114258.93,0
2025-08-05 04:45:00+00:00,114365.7,0
2025-08-05 04:50:00+00:00,114349.82,0
2025-08-05 04:55:00+00:00,114337.9,0
2025-08-05 05:00:00+00:00,114459.12,0
2025-08-05 05:05:00+00:00,114416.45,0
2025-08-05 05:10:00+00:00,114439.88,0
2025-08-05 05:15:00+00:00,114412.83,0
2025-08-05 05:20:00+00:00,114351.26,0
2025-08-05 05:25:00+00:00,114393.77,0
2025-08-05 05:30:00+00:00,114369.97,0
2025-08-05 05:35:00+00:00,114338.23,0
2025-08-05 05:40:00+00:00,114244.74,0
2025-08-05 05:45:00+00:00,114295.83,0
2025-08-05 05:50:00+00:00,114405.61,0
2025-08-05 05:55:00+00:00,114405.77,0
2025-08-05 06:00:00+00:00,114439.78,0
2025-08-05 06:05:00+00:00,114445.23,0
2025-08-05 06:10:00+00:00,114429.78,0
2025-08-05 06:15:00+00:00,114489.78,0
2025-08-05 06:20:00+00:00,114495.01,0
2025-08-05 06:25:00+00:00,114475.87,0
2025-08-05 06:30:00+00:00,114394.84,0
2025-08-05 06:35:00+00:00,114323.78,0
2025-08-05 06:40:00+00:00,114318.77,0
2025-08-05 06:45:00+00:00,114262.72,0
2025-08-05 06:50:00+00:00,114167.72,0
2025-08-05 06:55:00+00:00,114178.28,0
2025-08-05 07:00:00+00:00,114254.97,0
2025-08-05 07:05:00+00:00,114218.81,0
2025-08-05 07:10:00+00:00,114283.4,0
2025-08-05 07:15:00+00:00,114311.77,0
2025-08-05 07:20:00+00:00,114344.98,0
2025-08-05 07:25:00+00:00,114213.28,0
2025-08-05 07:30:00+00:00,114116.52,1
2025-08-05 07:35:00+00:00,113855.48,1
2025-08-05 07:40:00+00:00,114065.94,0
2025-08-05 07:45:00+00:00,114128.0,0
2025-08-05 07:50:00+00:00,114006.91,0
2025-08-05 07:55:00+00:00,113969.42,0
2025-08-05 08:00:00+00:00,114009.74,0
2025-08-05 08:05:00+00:00,113989.44,0
2025-08-05 08:10:00+00:00,114003.47,0
2025-08-05 08:15:00+00:00,114176.85,0
2025-08-05 08:20:00+00:00,114275.08,0
2025-08-05 08:25:00+00:00,114368.61,0
2025-08-05 08:30:00+00:00,114503.18,0
2025-08-05 08:35:00+00:00,114329.37,0
2025-08-05 08:40:00+00:00,114307.06,0
2025-08-05 08:45:00+00:00,114237.88,0
2025-08-05 08:50:00+00:00,114249.12,0
2025-08-05 08:55:00+00:00,114279.94,0
2025-08-05 09:00:00+00:00,114363.12,0
2025-08-05 09:05:00+00:00,114342.51,0
2025-08-05 09:10:00+00:00,114466.05,-1
2025-08-05 09:15:00+00:00,114466.02,-1
2025-08-05 09:20:00+00:00,114519.89,-1
2025-08-05 09:25:00+00:00,114575.8,-1
2025-08-05 09:30:00+00:00,114565.27,0
2025-08-05 09:35:00+00:00,114569.32,0
2025-08-05 09:40:00+00:00,114715.12,0
2025-08-05 09:45:00+00:00,114649.09,-1
2025-08-05 09:50:00+00:00,114634.0,-1
